c10001 - Nguyễn Anh Quốc - 089996337020 - Nữ - 21/01/1974 - quocanh.nguyen@gmail.com - 361 Phạm Ngũ Lão, Quận 1, TP.HCM - f10000 - Chủ tịch HĐQT - 29000000
c10021 - Trần Quốc Toản - 341996337038 - Nữ - 02/07/2001 - toanquoc.tran@gmail.com - 57A Bình Tây, Quận 6, TP.HCM - f10004 - Nhân viên phát triển kinh doanh - 9000000
c10022 - Nguyễn Thị Duyên - 341996337039 - Nữ - 02/08/2002 - duyenthi.nguyen@gmail.com - 60A Trường Chinh, Quận 12, TP.HCM - f10004 - Nhân viên hỗ trợ kinh doanh - 8000000
c10023 - Hoàng Thị Vân - 341996337040 - Nữ - 02/09/2001 - vanthi.hoang@gmail.com - 91 Nguyễn Hữu Cảnh, Quận Bình Thạnh, TP.HCM - f10004 - Chuyên viên tiếp thị bán hàng - 9000000
c10024 - Nguyễn Giao - 341996337041 - Nữ - 02/10/2002 - giao.nguyen@gmail.com - 1 Đường số 17A, Quận Bình Tân, TP.HCM - f10004 - Trợ lý kinh doanh - 9000000
c10025 - Nguyễn Hán - 341996337042 - Nữ - 02/11/2001 - han.nguyen@gmail.com - 97 Phó Đức Chính, Quận 1, TP.HCM - f10005 - Trưởng Phòng kỹ thuật - 11000000
c10026 - Phạm Anh - 341996337043 - Nữ - 02/12/2002 - anh.pham@gmail.com - 208 Nguyễn Hữu Cảnh, Quận Bình Thạnh, TP.HCM - f10005 - Kỹ sư trưởng - 10000000
c10027 - Lê Hùng Anh - 341996337044 - Nữ - 03/01/2002 - anhhung.le@gmail.com - 17A Đường Hải Thượng Lãn Ông, Quận 5, TP.HCM - f10005 - Kỹ sư thiết kế - 9000000
c10028 - Lê Hùng - 341996337045 - Nữ - 03/02/2001 - hung.le@gmail.com - 34 An Dương Vương, Quận 5, TP.HCM - f10005 - Kỹ sư sản xuất - 9000000
c10029 - Lê Tiến - 341996337046 - Nữ - 03/03/2002 - tien.le@gmail.com - 45 Nguyễn Văn Cừ, Quận 5, TP.HCM - f10005 - Kỹ sư bảo trì - 9000000
c10030 - Lê Cao Phát - 341996337047 - Nữ - 03/04/2002 - phatcao.le@gmail.com - 138 Đào Duy Từ, Quận 10, TP.HCM - f10005 - Kỹ thuật viên - 8000000
c10031 - Nguyễn Thị Khanh - 341996337048 - Nữ - 03/05/2001 - khanhthi.nguyen@gmail.com - 45 Nguyễn Khắc Nhu, Quận 1, TP.HCM - f10006 - Trưởng phòng Marketing - 11000000
c10032 - Nguyễn Lê Vân - 341996337049 - Nữ - 03/06/2002 - vanle.nguyen@gmail.com - 7 Công Trường Lam Sơn, Quận 1, TP.HCM - f10006 - Chuyên viên chiến lược Marketing - 9000000
c10033 - Bùi Trọng Nhẫn - 341996337050 - Nữ - 03/07/2000 - nhantrong.bui@gmail.com - 92 Nguyễn Hữu Cảnh, Quận Bình Thạnh, TP.HCM - f10006 - Chuyên viên nghiên cứu thị trường - 9000000
c10034 - Lý Nhã Kỳ - 341996337051 - Nữ - 03/08/2001 - lynha.ky@gmail.com - Võ Văn Tần, Quận 3, TP.HCM - f10006 - Chuyên viên truyền thông - 9000000
c10035 - Nguyễn Thu Phương - 341996337052 - Nữ - 03/09/2002 - phuongthu.nguyen@gmail.com - 799 Nguyễn Văn Linh, Quận 7, TP.HCM - f10006 - Chuyên viên Digital Marketing - 9000000
c10036 - Nguyễn Trung Trực - 341996337053 - Nữ - 03/10/2000 - tructrung.nguyen@gmail.com - Phú Mỹ Hưng, Quận 7, TP.HCM - f10007 - Trưởng phòng Nhân sự - 11000000
c10037 - Hoàng Phương Nga - 341996337054 - Nữ - 03/11/2001 - ngaphuong.hoang@gmail.com - 240 đường 3 Tháng 2, Quận 10, TP.HCM - f10007 - Chuyên viên tuyển dụng - 9000000
c10038 - Hoàng Thuỳ Linh - 341996337055 - Nữ - 03/12/2000 - linhthuy.hoang@gmail.com - Bùi Viện, Quận 1, TP.HCM - f10007 - Chuyên viên quan hệ lao động - 9000000
c10039 - Hoàng Quốc Huy - 341996337056 - Nữ - 04/01/2001 - huyquoc.hoang@gmail.com - 6 Bà Chiểu, Quận Bình Thạnh, TP.HCM - f10007 - Chuyên viên đào tạo và phát triển - 9000000
c10040 - Đinh Quốc Trung - 341996337057 - Nữ - 04/02/2000 - trungquoc.dinh@gmail.com - 2B Nguyễn Thị Thập, Quận 7, TP.HCM - f10007 - Chuyên viên hành chính nhân sự - 9000000
c10041 - Đinh La Thăng - 341996337058 - Nữ - 04/03/2002 - lathang.dinh@gmail.com - 63A Trường Sa, Quận Bình Thạnh, TP.HCM - f10008 - Giám đốc Tài chính - 12000000
c10042 - Nguyễn Thị Thu Uyen - 341996337059 - Nữ - 04/04/2001 - uyenthuthi.nguyen@gmail.com - 710 Nguyễn Trãi, Quận 5, TP.HCM - f10008 - Nhân viên hỗ trợ tài chính - 8000000
c10043 - Bạch Khang - 341996337060 - Nữ - 04/05/2000 - khang.bach@gmail.com - 161 Xa Lộ Hà Nội, Quận 2, TP.HCM - f10008 - Chuyên viên tài chính doanh nghiệp - 9000000
c10044 - Tạ Quang Tùng - 341996337061 - Nữ - 04/06/2001 - tungquang.ta@gmail.com - 469-471 Nguyễn Hữu Cảnh, Quận Bình Thạnh, TP.HCM - f10008 - Chuyên viên phân tích tài chính - 9000000
c10045 - Trịnh Trần Phương Tuấn - 341996337062 - Nữ - 04/07/2000 - phuongtuantran.trinh@gmail.com - 1 Lữ Gia, Quận 11, TP.HCM - f10009 - Quản đốc xưởng - 11000000
c10046 - Nguyễn Khánh Phương - 341996337063 - Nữ - 04/08/2002 - phuongkhanh.nguyen@gmail.com - 1000 Kinh Dương Vương, Quận 6, TP.HCM - f10009 - Trưởng ca - 9000000
c10047 - Ngô Bá Khá - 341996337064 - Nữ - 04/09/2001 - khaba.ngo@gmail.com - 381 Hai Bà Trưng, Quận 1, TP.HCM - f10009 - Kỹ sư sản xuất - 9000000
c10048 - Lý Tuân - 341996337065 - Nữ - 04/10/2002 - tuan.ly@gmail.com - 28 Võ Văn Tần, Quận 3, TP.HCM - f10009 - Kỹ thuật viên bảo trì - 9000000
c10049 - Phạm Nhã Hân - 341996337066 - Nữ - 04/11/2001 - hannha.pham@gmail.com - 92-94 Nam Kỳ Khởi Nghĩa, Quận 1, TP.HCM - f10010 - Trưởng phòng mua hàng - 11000000
c10050 - Nguyễn An Nhiên - 341996337067 - Nữ - 04/12/2000 - annhien.nguyen@gmail.com - 3 Hòa Bình, Quận 11, TP.HCM - f10010 - Chuyên viên mua hàng - 9000000
c10051 - Nguyễn Bảo An - 341996337068 - Nữ - 05/01/2000 - anbao.nguyen@gmail.com - 2A Nguyễn Duy Trinh, Quận 9, TP.HCM - f10011 - Trưởng phòng IT - 11000000
c10052 - Lê Hoàng - 341996337069 - Nữ - 05/02/2001 - hoang.le@gmail.com - 65 Lê Lợi, Quận 1, TP.HCM - f10011 - Kỹ sư phần mềm - 9000000
c10053 - Hoàng Cửu Long - 341996337070 - Nữ - 05/03/2000 - longcuu.hoang@gmail.com - 101 Tôn Dật Tiên, Quận 7, TP.HCM - f10011 - Kỹ sư hệ thống - 9000000
c10054 - Lý Duy Đông - 341996337071 - Nữ - 05/04/2001 - dongduy.ly@gmail.com - 208 Nguyễn Hữu Cảnh, Quận Bình Thạnh, TP.HCM - f10011 - Kỹ thuật viên hỗ trợ IT - 9000000
c10055 - Hạo Nhiên - 341996337072 - Nữ - 05/05/2002 - nhien.hao@gmail.com - 1147 Bình Quới, Quận Bình Thạnh, TP.HCM - f10012 - Trưởng Phòng Bảo Vệ - 8000000
c10056 - Phạm Hữu Giang - 341996337073 - Nữ - 05/06/2001 - gianghuu.nam@gmail.com - 202 Võ Thị Sáu, Quận 3, TP.HCM - f10012 - Giám sát an ninh - 7000000
c10057 - Lê Tiến An - 341996337074 - Nữ - 05/07/2000 - antien.le@gmail.com - 150 Đinh Tiên Hoàng, P.Đa Kao, Q.1, TP.HCM - f10012 - Bảo vệ ca - 6000000
